用户名,内容
请叫我掉坑哥,别的就不多说了，别人也分析的很透彻，我只想说说自己为什么想要考研。一直以来我都是没有目标，没有方向。走的路线都是很随便的，家里人也没有指导过我。我对于事情都是没有什么太多的主见，学习也只是应付而已，没有真正的想过拼命一下。在家里人看来，我的一路挺正常的。但我知道，其实，我没有方向。一直是没有目标的向前走。复读那一年，其实我也没有什么目标，对于外面的世界，我知道的一点也不多。也不知道知乎最低学历的学校是什么。只是没有目的的学习。当然了，那一年，我是付出了努力。也收获了不错的结果。大学之后，我陷入了迷茫，对于未来一无所知。浑浑噩噩的过了两年多，在学习上根本没有花太多心思。当然了，也没有挂科。可能我大学毕业之后，我会因为学校的原因能找到一个工作吧。那其实也不错。在决定考研之前，我也是这么认为的。当时的我也想过考研，不过那时的我就如同这个题目描述的一样，其实，我只是盲目的，就当是一场考试，反正从小到大经历了那么多，没什么区别。知道某些事情的发生，让我的内心产生了动摇。觉得该做些什么东西了。在一次次的刺激下，我逐渐的强化了我考研的想法。明白了考研对于我的意义。现在的我其实是坚定的。明白了自己想要的东西。这也是我这么多年来，自己独立的做的决定。决定三跨，到南大读一个计算机研究生。我很肤浅，坦白说就是为了钱。为了自己能够过得自由一些。有时间去做自己想做的事。今天早上，刷牙的时候透过镜子，我突然发现，我的眼睛闪烁着一点亮光，我很是好奇。感觉自己好像一直是没有光的啊，就到知乎查了查，哈哈哈哈哈，希望是真的。
小拖拉62,如今考研的同学们大概可以分为两类人：目标明确型；跟风报考型。第一类目标明确型的考生，在大一大二的时候积极了解社会形式，确定了自己职业目标，比如说某同学打算毕业后进入投行实习就职，当看完投行的招人要求后，发现最低是名校的硕士学历以上，这类同学就努力在大三去考名校的硕士。这类同学考研是最有意义的，人生目标明确，奋斗有动力，在同层次学生里见识也比较高，并且自我学习能力强。哪怕考研失败，工作步入社会道路应该也会不错。还有一类考生便是跟风考研的同学。在大学里休闲娱乐，平时翘翘课，谈谈恋爱，没事就回宿舍打打游戏上课玩玩手机，生活美滋滋。然后快到大三了，发现自己身边不考研的同学都有了很多证书，而要考研的同学都已经开始奋斗了，就按耐不住了，于是在某天下定决心，考研！那么这类人很容易就会出现一个问题，平时打游戏玩手机不多看新闻了解社会，也不知道自己的行业兴趣，未来的职业规划，那么在选择自己目标院校和目标专业就很容易迷茫，然后怎么选，跟风呗！别人想去投行，我也考金融，然后就很容易出现选完发现自己并不喜欢自己专业而无法在社会就职中应用的现象。这类同学，整个大学的开始阶段相对于高中思想就没什么进步，其中有一部分人考研考完无外乎是再找一个地方开始大学开始阶段的生活，考研有的时候就是逃避工作的借口。更深层次的教育是为了学习更多知识，接触更高平台，拥有更多资源，但首先你得自己学会了解和利用。
LaunchControl,去一个更大的城市过三年几乎没有房租而且有时间可以做自己喜欢的事情的生活。你不心动?我反正心动了。
匿名用户,注意题目，如何看待大学生跟风似的考研？很多题主回答却是大学生为什么考研？首先在我的身边，的确有很多“跟风”想要考研的人。何以见得呢？才入大学时，老师提问有多少同学有考研的想法，全院四百多号人大多数举起了手。如今大二快要结束了而我的两个室友，平时也不努力学习，成绩排名非常靠后，整体就打游戏谈恋爱，但却非常认真地说自己要考研。对考研没有认识，对自己考研没有认识，可能只是觉得考研更好，便信誓旦旦说我要考研，这种集体性行为很难不被认为是跟风。那如何看待这个现象呢？这是一个普遍现象，因为大多数人从始至终都不知道不明白自己想要什么，更不会去想自己为什么要做某一件事，往往只能看周围的人在做什么，我就做什么。周围的人在考大学，我也考大学；周围的人在考四六级计算机二级，我也考四六级计算机二级；周围的人都想考研，那我也考研；周围的人都在相亲结婚生子，我也相亲结婚生子。社会的洪流力量太大，会裹挟着每一个人向前流动，想要跳出洪流又难如登天。只愿大家在这洪流之中，能够多思考，即使不能随心所欲逆流而动，也有淡然的心态，平和看待。
皮囊,我感觉大学跟风考研的现象很好呀，起码是大家都知道要朝着更好的方向去努力，考研不仅仅是一个人学历上面的提升，更重要的是你在考研的时候付出的那些努力，只有你才知道你在考研过的是什么样的生活，当你经历了那样的生活你才知道你以后所需要经历的一切的事情都有信心去克服。对于大学跟风考研这件事情我自己是大家相互的鼓励，这样在你考研的路上一直都有一个人的陪伴在你也不会再疲惫的时候感觉到茫然无助，知道在你的身边始终是有一群人在陪伴你，看到别人在努力你就有了继续下去的希望。就像是现在很多的大学里面考研考的比较好的都是一个寝室的，这就说明近朱者赤近墨者黑这个道理是正确的，只有你生活在一个很好的环境中你的努力才不是茫然的，是有目标的，是值得期待的。
匿名用户,你在这里问。。。求不得认同。每个人都是保护自己的立场的！知乎上考研的多，所以都会说考研有用啊，你这不是找喷么。。。你看看有几个非研究生、非营销号正面回答你这个问题。有时候不要求得认同，自己有自己的看法就行了！
知乎用户,作为一名二战考研党，我有必要来为你传道授业解惑一番第一年考研。我的想法是本科生不值钱，而且我的专业就业面狭窄，所以我要考研。第二年考研。我的想法是本科生学历太不值钱，社会需要的是你的能力。而一纸学历只能代表你一部分的能力，你需要参与更多的活动和实习。所以我要考研一、你根据什么判断别人是跟风？你了解你同学的想法么？他们是真的有明确的目标还是盲目跟风。你有调查过吗？二、跟风真的需要被批判么？跟风不值得批判。毕竟不是每个人都有着独具一格的创新思维。大多数人还是跟随大流前行。但这并没有错，不能因为李彦宏带着百度疯狂研究人工智能，你再投入其中就叫跟风狗。你为AI作出你能有的贡献，不是一件很好的事情么？三、你是否做到了不跟风？反观自己，如果去社会工作，不难道也是看哪个行业热门，哪个行业收入多，地位高么？
匿名用户,类似于 如何看待高中生跟风似的考大学？
匿名用户,当今社会（特指国内）最政治正确且最荒谬的事就是积极进取与奋发向上。
知乎用户,我觉得90%的人都不会觉得读研究生后悔，单凭这一点，就不能被称为跟风。并不是所有大家都去做的事都叫做跟风
扶摇直上九万里,其实也不能说都是“跟风”考研其实也是一种跟随形势变化的一种手段。这也是一种人性的反映。就好像以下说法一样：后面追着一只老虎，前面两个人，包括你在内，理论上，你只需要跑得比另外一个人快一点，你就有更大几率活下来！这就是所谓的“避害”！而如果前面有一座“金山”，两个人奔跑，跑得更快，遥遥领先的，甚至只要领先一点的人，就能获得更多的金子！这就是所谓的“趋利”！如果是你你会如何选择呢？当各行各业都在卷，知名企业的招聘学历条件一升再升，你会如何选择呢？大多数的人，只要还是在能力范围之内的话，还是会争一争的在社会的大洪流面前，个人的力量很渺小，随大势，是一种无奈，也是个人人性的一种体现，仅此而已！我是扶摇直上九万里关注我：教你，陪你一起扶摇直上 
王鹞,今年国科大上岸，本科河南信阳二本。在我们学校考研的的同学还是挺多的，学校也一直注重宣传这方面。其实我觉得选择考研也挺无奈的，就业吧，学校没有特别好的资源，去招聘的都是些前台，销售……这样的一些岗位，就业方面一些名牌大学反而优势更大一点，同学会找到更心仪的企业和岗位，反而会不在乎考研。
寻找罗尔,目标明确，努力过，考上了的叫研究生因为目标不明确，或者方法不够合理，看似努力过没考上的都可以叫跟风。然后你要清楚的一个统计学事实就是，学历越高，收入普遍越高。你身边的人文化程度和文明程度相对越高，你就拥有更多的学习机会和提升自我的空间。不要说什么扩招不扩招，跟这关系不大，任何时期社会里的人基本都是呈二八分布的。跟过去什么本科生比完全没有意义，因为过去考不上大学的按照二八定律到今天来很可能就是考不上研究生的。以上。
青年观察室,
藏崎,借用两张图
Van helsing,"不考研是因为不知道自己真正喜欢什么,觉得现在就算考上了,研究生也不过是现在的状态,所以我决定去找找自己喜欢的东西.然后回学校,努力研究,造福人类,哦吼吼"
匿名用户,首先说，因为迷茫吧，谁当年又不是这样呢~大二大三开始考虑这个问题的时候，多半对未来没有一个目标，尤其是当身边的同学都似乎为了前途忙碌起来的时候自己是真的没法再快乐的玩耍了啊~考公的考研的同学们天天早出晚归看起来都似乎很有目标很有安排的样子，那肯定也要思考一下“我应该干啥去？”。当初身边的同学很多都是因为一时对未来没有什么打算所以想着试试，不如再续命三年~但是这样心态不是很坚定的同学到后期可能因为考研太枯燥坚持不下去，尤其到秋招的时候，大家都开始找工作了，抱着续命心态的同学可能就又动摇去招聘会了。反正一年又一年，历史总是惊人的相似。反正不管考不考研，我觉得也就是一个要不要继续上学的问题，读了研究生的人反正也都不是冲着科研去的吧（狗头
知乎用户mjVuLd,很少人想做科研……大部分都是为了找工作于是跨专业的等死吧……尤其像我这种……
知乎用户,关于跟风考研这个事情，其实每年跟风的人数都在增长，虽然近几年考研人数飙升但是并不代表这里面的人都是决心去考研的。接下来就谈谈跟风考研的几个弊端吧。1.大多数跟风考研的人可能都不知道自己为什么要考研，也不知道应该如何选择专业可能还会纠结在跨考与不跨考的这个问题。2.择校是个问题，当初如何仅是跟风而来那么择校也会是一个问题，985\211还是随便找个普通院校，线低易过即可。3.学硕or专硕？以及考研以后应该怎么办。跟风考研考上了也罢，若是没考上自己还是飘来飘去反而更加浪费时间。大概就说这么几点，更加深入的分析暂且就不写了。点到为止。
德艺双馨Morgan,大学生毕业后，有哪些选择？我先列举几种：找工作、创业、考研、考公务员、出国……还有什么你能想到的？在我看来，无非两类：社会深造与学校深造。先说创业，看看这篇就行了，不做过多的回答。大学生创业失败率95%，他们缺的是什么？再说求职，作为一个上学时混迹了几家大型互联网公司的“广告狗”来说，想要进入一家牛逼的互联网公司，成功入职，几乎让我拼尽了全力。更别提有些学校一般、专业一般、上学时每天沉浸在恋爱中的同学了。考公务员和出国就不用说了吧，门槛在那儿。于是有一大批人选择了考研，甚至他们都没想好为什么考研。有些人考研为了学历，这很通俗，但是不得不承认，学历的重要性。我实习的时候，本科生80一天，研究生100一天。有些人考研为了城市，从一个相对落后的城市读本科，考研到视野广阔的大城市，在学校的庇护下闯荡几年，有利于更好的融入社会。有些人考研为了钻研，比如有些专业，本科时由于夹杂了很多通用课程，让专业课学习不够深入。于是考研成了深入钻研的知识的机会。不得不说的一点是，有的人天生就是读书的料子，他们从小到大，在学习上都踏实刻苦，说不上多喜欢读书，但是很擅长读书。于是他们从高中考进大学，从大学考上研究生，又从研究生考进博士，然后博士后。最后，你可能看他们样貌平平，甚至有点呆，但是他们拿到了北京户口。最后，举一个我身边的例子。我的很多同学也都没有想好做什么，于是跟风考研。有一个同学的考研理由很简单，就是还能再花父母几年钱，而不用自己辛苦去赚钱。刚开始想考一所顶级学校，但是落榜了，后来调剂去面试某较为偏僻城市的211，8个人进6个，又落榜。最后进入一家4a公司实习，从头开始。也还凑活，想通了。列举了几种选择，是想说一下，毕业后选择很多，不单单是考研这一种。但是如果你没有更好的选择，考研也是一种保险的选择。但是一定要想好了，选一个真的愿意扎进去的，为了那个目标，努力干！
教兽小虎,分析一下原因：1.读了研究生，就业面更宽一点现在学历贬值，很多招聘岗位门槛就是研究生，不考研，找不到心仪的工作2.考研为了转专业有些人高考时候懵懵懂懂，很多人稀里糊涂就进了一个自己不喜欢的专业，经过大学四年，也大概知道专业是怎回事，也可能发现了自己喜欢的方向，考研转一个专业，未尝不是一个好的选择。3.跟风考研者其实跟风考研，未必真的是糊里糊涂跟风，其实也是人家在没有更好选择情况下的选择。人是经济动物，在自己有限的认知下，做的决定也是自己认为的最佳决定
匿名用户,不知道，老实说我二十多岁，一米八五大个，还总是时不时的跟家里要钱，这让我很不爽。但还是得考啊……不就为了多挣俩钱，爹妈脸上有点光，这研咱得考。
Copper,  如果我的绩点在3.0以上，我肯定不回去考国内的研究生。  本人在一所山东普通1本上学，高考考辞了，只能在家这边上学。学了不怎么喜欢的专业，挂过科，拿过奖学金，过了四六级，混了个预备党员，没什么理想追求。大三开始想考研，家里掏钱报了个贵的辅导班，大三上学期还是信心满满，到了下学期，耳朵开始耳鸣，没法学习，荒废了一段时间，又开始准备了，然后各种科目的考试接种而来。暑假里，因为自己的原因，跟一起准备考研的女友分手了。现在，大四上学期，前一阵又有实习，没法复习，放弃了自己原来想考的学校，准备考本校。但是，学习的感觉怎么也找不到了，书上的题不会做，感觉自己也考不上了。  我真的不知道为什么，自己为什么会那么颓废，真是一个废物，一点也不像是以前的自己，估计类似于高考的失利的那种情况，又会再来一次吧。
JamHone,两年前你觉得前途一片美好，可以在大学里学到很多很实在的知识，两年过去了，你发现你只会很多的理论体系，实际操作上起手来一窍不通，所以很多人开始选择去考研
匿名用户,不是说一定就业不了，但现在就业环境差，加班多，工资低，中年危机等，能考国家工作就考有保障，考研增加学历也好降低考公务员的门槛，现在公务员岗位越来越多研究生了
匿名用户,人想考就考，我就不懂题主这样想是什么意思?但是在我的概念里跟风不是一个褒义词，每个人都有自己的选择跟风也好真的也罢都是别人自己的选择，再者说跟风都是题主你在说，也许别人心里并不是这样想。
匿名用户,因为我工作碰壁了，想去的地方没资格去，有资格去的地方不满意。想着如果我一辈子就只是个本科学历，找个安逸的工作度过余生，那这辈子实在是白活了。于是和之前签好的事业编毁约，交了5000违约金，学校附近租了房子，考研。我爸妈说我心大，但他们也支持我，我从小到大都是听他们的，没自己做过决定，就这一次，我固执己见要继续读书，因为我真的想读研。愿好计划好结果。
匿名用户,说句题外话。现在五一过了，图书馆的人明显增多了。三四月份，我坐的这层基本没什么人。现在跟期末考试似的，全是人。大家都在学习，是挺好的。可是能不能麻烦你们小点声音讲题？这里是公共场合好吧？不止你一个人学习好吧？你们一群一群男生坐在一起，我一个女生敢去跟你们商量吗？不想考可不可以提前放弃？想考可不可以给自己留点人品？
匿名用户,坚持不住的，我室友钱都花了，房子也租了，现在基本放弃了
匿名用户,跟风？ 那也总比继续吃喝玩乐过完大学生活好吧？说不定一努力就考上了呢？
凶残的小喵喵,不知道为什么知乎今天会给我推荐这个问题看到这个问题综合最近的逃避式考研和单位有个应届生做了几个月辞职考研，感觉还有点意思，就普通本科生的见解回答一下吧当时学校选择继续考研的人也不多，这个问题矛盾也不是很突出。毕竟当时有个本科文凭就已经很不错啦。不像现在不是硕士都拿不出手。个人经历上面来说，临近毕业，工作or深造在我们现代社会来说一直都是个问题。就我来说，我临近毕业的时候也考虑过考研，但是最终并没有选择去。因为我算了一下自己的成本，与其啃老考研消耗父母的钱，不如先踏上社会工作起来再说。家中也是支持这样的一个选择，应按照工作后的职业结合自身的兴趣，再去考研这是一种对职业比较有利的发展方向。如果需要对自身有利的发展方向可以选择考研然后工作。最后根据身边3个成功的人来说一下，什么样的情况适合考研。1号上海大学本科，英国曼彻斯特大学研究生，家里前后花了100w，1号继续提出深造的想法，家中因资金不足否定想法。现工资2w/月2号浙江大学本科，武藏野美术大学研究生，家里前后花了200w，2号在日本国内呆了将近5年，同在日本工作的中国人结婚后回国。做了几个月的设计后，和丈夫一起开了家门面。现工资不明3号东华大学本科，日本东北大学研究生，家里前后花了100w，3号原打算在日本索尼工作，后因面试没有通过，遂毕业后回国工作，现工资7500/月。以上3个例子不知道各位有没看出点门道来。选择考研的人，都是家里父母有些资本，能供他们不工作也可以读得很滋润。身边也有许多国内的，但即便是考国内，也是需要家里有一些资本的。同时，他们都有过同样的一个想法，实习过后多多少少都有点工作太累，选择继续深造逃避一段时间工作的想法。所以并不是说跟风考研不好，而是应该结合自身情况，家里条件怎么样，自身成绩怎么样，发展方向怎么样再去做决定。不然自身成绩不怎么样，家里条件也不怎么样，发展方向也不明确，那你就只能在茫茫人海大军中做个自杀式的分母。身边也有在职研究生的例子，建议家中条件不太好的，可以选择这样的一条路。这样也不会给家里带来太大的负担，同时也有资金来源。所以，就算是考研也是有钱真的可以为所欲为
创新牛,其实很多人考研，是为了逃避工作。
西柚aka,大多数人走的路不一定是完全正确的，但一定是较容易舒坦的。人都不傻。这个问题为什么不能说是如何看待高中生跟风似的考大学？如何看待初中生跟风似的考高中？因为这两个阶段基本是被安排的，而考研基本是自我安排的。很难，很不容易。看似好像一点也不搭嘎，但是本质不还是一样的么，为了提高学历，为了更好。确实，很多大学生毕了业可以找到工作，高中生也可以，初中生也行，那为什么初中生还是要中考，高中生还是要高考。因为选择性太窄了，眼界也很窄。你没有权利去选择其他的东西，你的学历某种程度上代表着你的能力。根据人的发展，大学毕业已经是成人了，思想，身体。人突然一下子就被迫接受很多东西。明白的人早早的准备考研，糊涂的人跟风准备考研。她们都明白学历的重要性，一个真明白，一个想明白还不是太明白。于是成功的人是少数，失败的人太多了。学习的哪个阶段都是啊。一本二本专科，谁不想改变自己呢。因为看到很多例子，明白学习的重要性。才会跟风，也不是跟风，只是觉得有好处，我也想吃一杯羹罢了。
殇11,你去找几个公司老总问问就知道了 他们 优先目标 是国外名牌大学毕业的研究生 和国内知名导师的研究生  其次是211 985的大学生  前者 有经验 有积累有眼光 后者  211毕业怎么说也有点基础 其次 就是老板觉得大学生学校没有教你多少规范 啥都没有养成固定思维 进了公司很好使唤 和培养  
叮咚,大概是怕吧，害怕出社会，害怕以后的自己什么都干不了，在这个大四的时候，只能让自己做点什么事情，来缓解一下自己内心的情绪吧。
匿名用户,自我本身为例吧，我福建三本本科财务管理，出来根本没经验的会计根本没人要你，而且我家在西北某省会，工作基本都是销售，我二战mpacc失败，找工作就基本是跟本专业无关的工作。父母不满意，工资低，而且来回路程很累。还有一部分原因吧，我和我周围的同学父母都觉得读不上硕士就没有好工作，可是并不是读了硕士也更好找工作，要转变父母的观念还是挺难的，再加上我爸同学的孩子三本男生学会计的，也去了外企，我也并没有说三本好，也没说硕士不好，只是要全面看待问题。
邓淇,如何看待九年义务教育毕业生跟风考高中？哈哈哈反正我觉得很多人小时候也不懂那么多 大家都说读高中考大学能过上好日子 所以都去读高中考大学了考研同理
庄周fancy蝶,别说考研了，无论什么事情跟风就是不对的。然而到底有没有跟风，别人是无法下定论的，只有自己知道。最后，请问一下，提出这个问题的人是想表达什么？还有就是无脑喷的人:你的生活过得很好吗？为什么很多人都跟风似地你那种生活？
考试点金融专硕,因为学历在贬值，本科生越来越多，好的企业都是研究生起步。所以考研的人越来越多，当然人多了就会出现羊群效应，就会有人跟风。跟风考也没什么不好，通过跟风能意识到考研的意义，然后去努力就没有问题。怕的是那些本身不想考，看到别人努力学习，自己感觉到压力，就也去跟风学的人。这些人考研决心不强，去图书馆的目的主要是为了安慰自己，造成一种努力的假象，不光考不上，还白白浪费了时间。所以建议题主，考研前先想想自己的未来规划，再决定要不要考，一旦决定就全力以赴，努力去考就行了。
妄想的兰刺客,别的专业不清楚，我是临床医学的，本科毕业生需要规培三年才能算正式医生，研究生三年也算规培，所以研究生毕业＝硕士毕业＋规培毕业。
我麋鹿啦,不是跟风，是没办法。别人都考研，提高水平，你不考就会被落下去。
一方陈,如何看待小孩跟风似的上学？
匿名用户,专科升本科的表示没办法……哪怕是全日制升本，你学历前面依然有个专科起点，不考研无法抹平。
柠檬不酸不萌,如果有一天高考也是可以选择性的，那一定就会有一个问题如何看待大家跟风似的高考吧。事实上，现代大学生大部分选择的专业都是迷茫的，我们为什么要上大学，就是就业！可是现在大学能够给学生提供的就业机会和锻炼真的太少太少，特别是那种双非，我们学校毕业提供的就业单位像猪饲料厂，海底捞火锅店服务员啥呀比比皆是，这些岗位好像对于大学学历并不成正比。好一点单位，学历就是研究生，或者本科学的专业根本不感兴趣，大学要转个专业还需要认识人，掏钱，成绩，没有办法我们只能去考研。当然有些人放弃了考研，那是他们有别的更好的选择余地，家里面背景，有关系，这种，如果我也可以像我同学那样直接能去某事业单位，朝九晚五，岗位也适合女生，工资待遇也比较客观。我肯定也不考研，我相信好多也不会考研。
联合红星,因为军备竞赛和不安全感永远是主流无论是国与国，社会与社会，文化与文化，还是人与人
知乎用户,跟风与否取决于考研的目的。若是立志投身科研，何来跟风，这不是按照自己的人生规划过“研究生”这必经之站么？若是职业要求，如医生，何来跟风？若无明确规划，随波逐流，则有“跟风”之嫌。
蔡大炮,俺们是为了考研而考研的吗？不不不俺们是在总复习，是为了回顾总结一下大学三年多学过的重要知识，是为毕业工作夯实基本技能基础，怎么能说是跟风考研呢？这种其乐融融努力认真的氛围也很好啊。考研真的只是顺便的事。以上是辣鸡985的不辣鸡学生俺的看法。500分考300来分跟闹着玩一样读不读研再说，俺先考着，多个选择何乐不为？
元气满满的,真的有那么多人是跟风吗？在以前，高中学历出社会找工作就够了，过了一段时间，大专学历才敢出去找工作，在之后，一本本科毕业才不会被歧视，而现在很多公司只招研究生学历。跟不跟风很重要吗，这仅仅是人生中众多选择中的一个，考研并不是一件坏事，有想法有目标的人为什么要被冷嘲热讽？
寻问,这是焦虑，十足的焦虑。似乎从小到大，很多人都被这样的焦虑包围着，他们要告诉我们要好好学习，不要贪玩，不要读闲书玩游戏，要考个好高中，考个好大学，将来就能有好工作、好生活，不用再吃苦了。等我辛辛苦苦考上一所211大学后，才发现社会上拥有本科学历的并且能与自己竞争的人太多了，似乎研究生没那么多，那就考研吧。但现在研究生每年录取也在一百万左右，研究生也在扩招，等很多人研究生毕业了，身边可能就是研究生扎堆了，正因为如此，反而显得本科学历更不值钱，更要选择考研了。有很多专科学历就能做的事，很多公司或者单位点名要名校研究生，学历虽然是敲门砖，但却不是过去的金砖。高房价，高物价、低工资，年轻人结不起婚，生不起病，谈不起恋爱，租不起房子。有些人想要躺平，但是不允许你这么做，在各种渠道上每天灌输你要奋斗要上进的思想，你会觉得自己太差劲了，只有通过行动麻痹自己。
一个路过的大神,学长作为过来人，也稍微分享点小看法吧：对于跟风式的考研，学长觉得就跟盲头苍蝇在乱飞一样，完全找不准方向。并不是说考研有很大吸引力，而只不过是大部分跟风的人对考研不了解，更甚至对以后的读研不够了解。先不说能不能考得上这个问题，复习期间能不能坚持下来也是个问题。因为往往跟风的都是心态很动摇的。复习期间，大概率会有人放弃的。所以，不推荐这种跟风式的考研，没必要。
考研饺子学姐,经济形势不好  就业难   找到好工作更难你去看看那些考公的人  他们的竞争更激烈想要提高自己的竞争力   1是丰富经历  2是提升学历大学生只能选择先提升学历  提高自己的就业门槛然后在工作中积累经历很多在职人 工作时间比较早  已经累积了一定的工作经验这时候由于学历问题 上升路径受阻 可能就会开始提升学历如果是在校生  还是要读研的  现在本科生太多太多了  本科学历早就从20年前的天之骄子变成螺丝丁了不是大学生跟风呀  不考研 直接就业的话 真的选择面太窄了 
素履,谢邀 如何看待中学生跟风高考？如何看待初中生跟风中考？如何看待小学生跟风上学？如何看待幼儿跟风吃奶？如何看待精子跟风跑向受精卵？你的起点在跟风，终点也在跟风，为啥想活成另类呢？
摸摸哦,要不然去给资本家当燃料？
依然,不是跟风，是不的不，无奈。本科一抓一大把，不考研怎么行？
青青子衿,没办法，大家也是身不由己啊。一方面我国生育率不断下滑；一方面由于互联网的冲击，传统行业备受打击，很多工作岗位工作时间长、薪酬低，毕业生宁肯送外卖也绝不进厂。那对于普通人来说，只有两个门路可选了，一个方面是利用互联网进行就业，比如直播、开淘宝店、经营营销号、带货等等，另一个方面就是一些有编制、有保障的岗位，像公务员、教师、医生、律师等。
南方客,因为都不知道自己为什么考研，现在很多往届生考研也是因为出了社会，才后知后觉的想到考研。
恶眼烛光,需要能创造就业岗位的人才
巨窝,我看现在不考研才是跟风~
liqqbb,考研确实香啊！不能算是跟风。
懒猫,因为保不了研啊！
泊海渊,很多人都在做的事，总有人要反对，以显现出自己的“清明独醒”，然后又会有另一群人反对“反对者”，以突显自己的优越见解。
大学规划付费咨询,反过来考虑：你可以想想 你本科毕业后能干啥
知乎用户FqOgc1,因为研究生含金量高吧考上研究生有种改变命运的感觉差别是很大的研究生的分量很重所以才会那么多人去考研我是学中医，大五实习也很多人考研。实习结束，回到学校领毕业证，班里十人考上了研究生，很高兴，好像高考改变了命运一样的高兴，还真是。考不上只能回县城乡镇医院，考上了就是市立医院，
半日闲谈,因为考研对绝大部分出路都是有益的。想考公务员/事业单位的，研究生解锁竞争更小的职位，解锁副科级待遇。想进公司的，研究生解锁待遇更好的外企/国企，解锁研发岗。想进高校/科研院所的，研究生解锁带编制的行政岗，解锁实验员岗，解锁教授助理岗，并作为解锁辅导员岗的前提之一。想创业的，研究生学历为玩家提供更多的视野，并解锁新技能树:实验室人脉。此外，在定居一二线城市时，研究生可以降低落户难度。（来源：素材整理于网络，如有侵权，联系删除。）
皮埃尔,你不考，以后更卷，和你竞争的都是人均硕士而不是本科。我觉得现在考上研究生的其实很多都是准备考公的，没几个打算搞学术，为什么呢，五六年前好大学的博士能进学校当讲师，现在则是海归博士来当讲师。那等你考上并读完又是什么标准呢？所以尽头还是公务员，公务员，公务员。考不上公务员，应届用完了，就和本科抢位置了。
烧腊与桶装水,我是工作后考研的。仅做参考1.读研和本科有区别吗？区别很大，读研真的不轻松，做好心理准备。尤其工科基本没有放松的时间，寒暑假周末学习是天经地义，我们有的大组导师还要学生敲卡。但同样的，自己也能得到很大锻炼。要抱着和本科一样再愉快个3年的，趁早打消这念头。2.研究生比本科生好找工作吗？好找得多！举个例子，我当年毕业时候投了50多份简历，结果面试了其中40几家，几乎没有不拿到offer的（这个可能和我之前有过几年工作经验也有关系）。你说好找不好找？我最大的感受就是研究生的机会比本科多得多，只要你想，就不可能找不到。而且大家发现没，现在学历开始新一轮贬值了，就目前而言，研究生还是供不应求的（5年后不好说）。3.工资待遇？硕士一般比本科多个1000左右，国企里面是15-20%之间，自己斟酌4.第一学历重不重要？单位歧视吗？重要也不重要。绝大部分“好单位”（我这里的定义是大国企，独资外企）一般不注重本科学历，本硕都要求211之类，我就看见过国网。负责任的和你说，注重第一学历的基本都是垃圾公司，去了保准你后悔，这个是很多人的经验。但你本科学历不能太差，至少要二本。5.有必要跟风吗？如果找不到很好的饭票公司，跟吧！至少不会让你后悔我的想法是：高考是人生第一次大洗牌，那考研也算小洗牌吧，而且考研难度远低于高考，学费什么的也基本无需家庭负担。为什么不给自己次机会呢？
上元教育考研辅导,每年报考人数都在增加，国家经济速度放缓，一大批已经就业的人员也要考研，这无疑就增加了考研的人数，再加上每年大批大学生就业，本科文凭已经无法满足需求，因为大多本科生转战读研，期待增加学历，增加就业的砝码
理想依然遥远,你要学会透过现象看本质
雾水,生活是自己的，结果是不会骗人的。读研能够让普通人有机会接触到上一辈接触不到的生活，也能让不用为生活操心的人镀金。但一切的前提都是考上为基础的。为什么跟风考研？1.高校教育只服务于精英精英学生已经规划好生活，堕落的人已经堕落，中间的小伙伴不愿躺平，又没有能力。这部分人组成跟风考研的主力军。2.基础教育不完善，父母不懂教育大多数学校不会通俗的去教你为什么读书，从小学到高中都是按部就班，老师画饼似教育。许多父母也不知道为什么让孩子读书。碰到一本孩子，上去就说大学生泛滥，去考研吧，然后转头对专科的孩子，就说一句以后专升本。3.学生对社会变化不够敏锐现代部分互联网企业高速发展，重能力，轻学历的氛围形成。但部分学生还报着读某专业必须就业某专业的理念。4.内卷许多人考研不是为了让自己能力提高，去适应更高水准的工作，而且为了让自己拿着研究生学历去和老奶奶抢扫大街的工作。所以你问我如何看待，我只能说：生活哪里有那么多的逆天改命，出身决定了90%人的一生，你以为自己是小说中的主角，其实大家都是配角。不过奋斗的人还是值得赞扬的！
