评论人昵称,星级,等级,时间,有用数,评语
黑道快餐店,3,还行,2020-08-14 17:22:35,617,"
我觉得人物形象都很刻刻板。河这边的人都想抗日，河那边都是保家卫国忠心耿耿，有几个原来怕后来都变好了。日本人就是坏。放点历史资料片，照着拍，大家哭吧，齐活。
"
灰狼,1,很差,2020-08-14 23:30:39,253,"
和审查什么的没关系 主要是拍的傻 没有创造性 非要走什么小人物视角 但基本上是机械重叠式的角色 按理说既然飞艇超八什么都出来了 再使把劲拍成那个时代的全景媒体战争不挺好吗？
"
亵渎电影,3,还行,2020-08-18 01:58:03,497,"
拍群戏太考验导演在演员调度和摄影调度等方面的能力了，这也导致了片子基本上处于一团糟的状态，这么多角色的群像应该让罗伯特·奥特曼那样的导演来拍。在上一部电影成功之后，导演拥有了创作上的话语权和财力支持，以这片子的野心看，应该是可以代表导演的艺术水准和艺术追求，就像冯小刚的《芳华》，结果管虎的业务能力显然不如小刚，小刚至少很懂节奏和张弛。《八佰》各方面都还处于混沌的状态，从剪辑，混音和音效剪辑这些战争片最容易出彩的工序上看，这片子的战争场面那真是完美还原了战场的一团糟，缺少想法，摄影也抓不到场内的有效信息，加上人物多，剪辑碎，大量全景，摄影也很难拍出节奏和韵律，只能靠剪辑的速度和震耳欲聋的声响唬人了。管虎最大的优点是一个好编剧，非常懂得类型片技巧的运用，确实有两把刷子，剧作技巧层面上值得赞赏。
"
frozenmoon,4,推荐,2020-08-12 11:07:00,574,"
有幸看了原版，那时疫情还没出现，世界还是原本的样子，但风暴很快袭来——疫病的和舆论的，让电影耽搁很久。《八佰》让人震撼的地方在于它没有故意去彰显震撼却收获振聋发聩的效果，它用收束写磅礴，用胆怯写勇敢，用恐惧写悲壮，用不知所措写义无反顾。那些兵里有痞子、混子、油子，但最终他们都成了战士。那群人守护的是一种普遍的人类精神，有关于尊严和意义，其实这早就超越了政治派别，在这样普遍的精神感召之下，守护旗帜的颜色和图案根本就不应该成为讨论的重点，如果说非要讨论旗帜，那他们护的就是人性尊严的旗帜。我们在生死硝烟里看见的是应该是一个一个一个的人，是具体的恐惧与希冀，而不应该把他们抽象成一个派别符号。《八佰》在中国战争片里是绝对重要的，无论技术还是意识，它所引发的电影外的讨论也会成为时间的注脚和底稿。
"
NTGULTY,1,很差,2020-08-15 15:43:47,398,"
不要乱写历史！
"
dataframe,5,力荐,2020-08-14 17:18:28,1503,"
没有哪个地方觉得不好，导演、摄影、美术、演员，几乎都是恰到好处的把人一瞬间拉入那个战火连天的时代，整场电影看下来沉浸感很强，枪枪打在心上，又震撼又感动。杂牌军看似各有各的草包，但在生死面前，却又一个个都没掉链子成为了真正的战士。王千源，张译，姜武，李晨，郑恺，欧豪……几乎各个都有亮点，太绝了。
"
谢飞导演,3,还行,2020-09-24 11:12:18,348,"
        九月初在上海开会，抽空到影院看了这部票房大卖的电影，观感不佳，也就一直没有去写豆瓣评论。“乱打一气”，这是看时的直接感受。情境、人物常不清准，敌我战势也时有混乱，这和剧作人物过多、细节散杂有关。编导对这段复杂的历史观点也是混杂，要说的话又太多，所以全片主题也不清。票房大卖是好事，但创作中的问题仍值得研究。三分给所有创职人员的认真辛苦工作。
"
不辣的皮特,3,还行,2020-08-24 10:52:48,901,"
只有我觉得护旗那段真的很傻吗？让一个个鲜活的生命前仆后继地送死，就为了让一面旗帜竖起那么一会儿的工夫，确定这是在打日本人的脸而不是侮辱民智吗？竟然还有那么多人颅内高潮，拍手叫好，真无语了，打着历史电影的旗号却是一部抗日神剧，该交代的事情寥寥几笔带过，整部片子都在不断渲染英雄主义和空泛的爱国情怀，连感动都是碎片化的，莫名其妙的。
"
西楼尘,4,推荐,2020-08-14 23:30:18,710,"
天堂与地狱只隔一条河，阵地与坟墓同在一座桥，壮士与伶人只差一层皮，怂包与英雄同扛一面旗。南岸有不恨国亡的商女，北岸是壮士许国的男儿，那边有粉墨登场的关羽，这边是七进七出的赵云。四百壮士用血肉唤四万万民众觉醒，五十三米河岸当幕布为租界万国表演。硝烟后，白马尚在，旗帜未倒，英雄不老。
"
shininglove,3,还行,2020-08-18 23:00:22,441,"
把战争片当成任务：导演靠本能，素材做加法，技术直给，情感刺激，简化思维，受众下沉；把战争片当成艺术：导演建系统，素材去减法，技术克制，情感留白，思维复杂，受众有门槛。
"
托尼,2,较差,2020-08-21 16:15:51,1062,"
失望吧，煽情过度，几个人物也没说明白。最后小队反击没拍还是删了，姜武上天台坐在炮上干嘛？
"
胤祥,2,较差,2020-08-18 22:42:14,644,"
观影计数大陆片#800。视点乱成这个样子，视点镜头拍成这个熊样子（动不动就杀一个视点人物也真好玩），剪辑楞成这个样子，几个催泪弹级的煽情点剪得都不让人哭到位是个啥思路……总之不都是审查的锅。除了亵渎叔所说的“用混乱还原了战场的混乱”之外，还用看客的视点完成了“观众（主体）的阶级分析”，这片子观视结构真有得一说（青天白日旗的视点哈哈哈），症候性的点大概是“他们都没有结局”吧。管虎的作者性是……神兽吗？
"
散装称重,2,较差,2020-08-14 22:20:14,608,"
三星给英烈。求你们了，这种片，能不能别耍帅，别矫情，别强行煽情，别强行升华，还有，自信点，行不行？真的特别特别想看正常点的战争片，四渡赤水，上甘岭，松骨峰，冰雪长津湖......
"
穆阳,4,推荐,2020-08-18 00:13:43,602,"
太惨烈，太惨烈，太惨烈。
"
陀螺凡达可,2,较差,2020-08-14 23:00:04,314,"
2.5 我前座的男士一边抽泣一边举起iphone拍大银幕真素感人惹（PS：电影本身制作是最高级别的工业水准，但仍然是全程鸡血口号煽动式的宣传片，且内核矛盾、叙事坍塌，公映版本实属灾难（不确定删掉的那十多分钟是否足以力挽狂澜
"
柯里昂,4,推荐,2020-08-14 12:30:34,1043,"
好的地方不少，管虎耍起行活来还是很扎实，在第六代导演中他大概是最具类型片思维的一位，镜头游走、配乐卡点都颇为讲究，片中那些爆破戏、枪战戏以及对兄弟情（战友情）的呈现，一点不比陈木胜、林超贤、陈德森这批久经沙场的香港导演差。结尾撤退戏看哭周围不少观众，这场戏带来的紧张和感动大概不输《敦刻尔克》结尾渔民集体开船救援英军的情节。当然，战争片的一些通病也有，前半段明显剪得有些碎（自然也与删减有关），而且角色视点过多基本也是国产战争片老毛病，华谊大概是把自家明星能塞的全塞进去了。护旗桥段删得令人惋惜，其余几处删减也挺明显的，虽说就目前版本来讲完成度已经很高，但作为观众谁又不更倾向于看到代表导演诉求而非政治立场的完整版呢，终归还是怀有遗憾。最后，从各种意义上来说，参与这部片台前幕后的人员都是值得敬佩的。
"
归弦,3,还行,2020-08-14 22:40:34,341,"
最多三星半，不要抱太大期望，不及张艺谋冯小刚平均水平。开头略有惊艳，后面就实在想不起有什么可夸的…整体略显煽情和冗长混乱，不过相比之前的很多三星国产片没有什么太尴尬的地方，只是中规中矩而已。可能是太久没有这类片子了，如果不是免费或几块钱不建议买票去看，要花钱倒不如把隔壁《1917》再去大荧幕上刷一遍。
（很奇怪这片子好像都是平时不太爱看战争片的女孩子感兴趣的比较多，平时热衷讨论历史军事爱看战争片的男同志们似乎并没有太大热情……也就看个消遣）
"
桃桃林林,4,推荐,2020-08-21 19:46:26,230,"
就像片名一样，佰。还是将核心置于个体，这也是最喜欢的一点。一群普通小人物的个人战争史，以及他们的觉醒。其中的血性，也是由之激发出来的。所以，才会更被郑凯那段感动。
"
何夕,3,还行,2020-08-14 21:48:40,268,"
太过煽情，逻辑弱且场面混乱，政治不正确
"
汪金卫,3,还行,2020-08-19 23:07:04,183,"
普通+IMAX二刷。服化道美术下功夫，战争场面血腥，演员表演、各地方言对白都是亮点。尤其谢团附广东腔国语既符合历史也让角色生动真切立得住。整体是方方面面二十多个角色的群戏。开场1小时以杂牌军视角为主，大篇幅叙述其胆怯懦弱与直男烟酒女三大爱好。结尾却反而留白不交代，比较诡异如隔靴搔痒。租界隔岸观火视角也是重点，而国军形象与作战直到阻击战方才正面描写，并极力渲染悲壮气氛，甚至不惜处处夸大虚构，仿佛伤亡百人般惨烈（历史死伤37人）。把过桥撤退硬拍成了奥马哈海滩登陆。至于杂牌军、枪杀俘虏练胆、送电话线等均是无中生有。过度夸张煽情的创作理念令人疑惑。公映版难得保留送旗升旗奏国歌和继承自台版电影的护旗桥段。但也无奈地低调弱化了旗帜色彩与景别，闭口不称国旗不谈国号保持最大限度克制。野心很大结果只能差强人意。三星半
"
A clown,2,较差,2020-08-21 11:20:32,547,"
没有人性，没有反思，只有一场平淡却带着鲜血与尊严的“演出”。
"
小狐狸的慢灵魂,2,较差,2020-08-14 22:10:35,329,"
《八佰》可以做得更好。成片的效果只停留在文学策划的层面，一个抗战故事的「到此一游」。
"
守望C-137,2,较差,2020-08-17 13:33:21,424,"
没基本的事实依据，用民国的造神来纪念历史？拍的也真一般。
"
豆友132094519,1,很差,2020-08-16 09:41:46,319,"
本来就没有期望这部电影有任何惊喜，只希望能看到一部合格的关于战争的类型片，但没想到我一再降低期望带来的依然是巨大的失望。全片灾难般的节奏感，一切剧情冲突点、意向符号、一张接着一张雄性激素注射过盛的人物特写、一段接着一段毫无节制的烂俗煽情，各种乱七八糟的要素如阅兵仪式的花车游行一般一茬接着一茬走马观花般掠过，莫要说人物塑造，就连基本的讲故事都讲得一塌糊涂，视点涣散，感情虚浮，看完后只剩混乱和空洞。现在回想起来一句话：“宣传一个电影最好的方式就是禁掉它”很明显八佰就是如此，也同时让我产生了那么一丝不切实际的幻想，而现在我甚至怀疑这从头到尾的一切都是精明的宣传手段，一场彻头彻尾的骗局，愤怒、悲哀，在以往的观影经历中从未有过如此憋屈的感受。我期待许久的居然是一坨包装精美的狗屎。中国电影真就如此了吗？
"
ashlie,3,还行,2020-08-21 19:32:53,272,"
先不论是否尊重历史，仅仅从电影角度出发，怕观众不明白一样的引用白马，赵子龙表达，跟其他大师的四两拨千斤和举重若轻相比，实在有差距。其他的还不错，很热血，欧豪，唐艺昕演的差点，很多角色（比如刘晓庆）没有意义的赘述和表达，也是疫情期间难得的大片。没有超过预想，合格而已。

"
欧阳疯是大笨蛋,3,还行,2020-08-17 22:24:49,230,"
三星半
我的情绪在跳楼、护旗这两场戏就烧干了，后面杜淳越来越不地道的广普和那匹意象的白马让我全程出戏
害，不知道咋说。好的演员如辛柏青姜武王千源，看他们飙戏真是一种享受，差的如姚晨杜淳等，一句台词都带不起情绪来，看得真的急死人。
"
梁士立,3,还行,2020-08-14 21:06:27,137,"
不如集结号啊……
"
沐珑秋刀,3,还行,2020-08-22 04:34:43,158,"
不纠结是否符合史实，是否美化或丑化国军，仅从电影角度，说一下没能太打动我的理由：1、想表达的东西太多，却没把故事讲好，剪辑太碎太乱，流畅度和节奏感都欠奉，尤其开场十分钟；2、人物太多，群像塑造弱，有的太脸谱化，有的缺乏前后转变的过渡，有的言行缺乏足够的合理性和逻辑性支撑，还有的明星镜头给得太刻意，唐艺昕和黄晓明尤其让人出戏，最成功的角色大概算是李晨和王千源吧；3、一些桥段感觉像是被重点标注了“泪点”，塞给你个洋葱强行煽情，反而皮影戏那段更有感染力；4、白马的戏份多到令人反感，深怕观众看不出它是隐喻的符号似的，反而掐灭了我做语文阅读理解的欲望。
"
故宫藏美,3,还行,2020-08-21 16:18:19,225,"
因为给了过高的期望，加深了看的失望，什么都挺好的除了剧情，多花点时间在那个敢死队上不好么，非得把一个逃跑拍出冲锋的感觉，是王氏兄弟投钱太多烧的么？
突然觉得广电去年禁他是有道理的，大阅兵的拍一群逃跑，虽然是国军跑那也是抗日的部队啊！管虎下次啥都可以兼，别再编剧了，拨点钱请个好编剧
"
私享史,3,还行,2020-08-18 00:38:09,147,"
7分封顶，而且已经把观影情绪被调动的加分算进去了。几处重要戏份的删减无疑影响了表达，但也不是说那些戏份保留了就会加分。导演的力所不逮已经在删减版里暴露无遗，于是跑全马不会比跑半马的成绩更好。其实去年看“同题材”的《前夜》已经让我对管虎驾驭此类电影的能力存疑，这次又交了一份不合格考卷。
作为角色众多的大群像戏，竟然一个鲜活且丰满的角色都没造出来，管虎身为编剧该背大锅（删减背小锅），与演员演技基本无关。如果说后半程把焦点放在了杜淳饰演的谢晋元身上，那么前半程里他是严重缺位的，而依欧豪饰演的散兵这个小角色的份量和视角根本撑不起前半程。
论战争场面和人物刻画完全比不上《集结号》，哪怕是机巧算计的《金陵十三钗》至少也赢了个工整。要说本片这样那样树了此类国产战争片的新标杆，怎么听着都像尬捧。【广百金逸】
"
晚不安,3,还行,2020-08-14 23:34:41,94,"
把戏写得极铺张，河两岸，国内外，敌我双方，各方面都想审视到。带来最严重的问题就是视点涣散，段落间过渡急促，前半主线在逃兵团，后半挪至上层团长，很难真正跟住某个人物进而代入，情绪也跟着失焦。所谓悲壮，所谓家国情怀，是需要铺垫，但不能全靠渲染。直接影响了最紧要的冲桥结尾，上的技巧都变虚浮，没有紧实的共鸣托底。战斗部分，少层次，多混乱，文戏安排和场面调度不如林超贤。所以《1917》不是方法，《八佰》也不是方法，《钢锯岭》是，《大兵瑞恩》是，《黑鹰坠落》是。跟自己人比，也是弱过《集结号》和《金陵十三钗》的。
"
初代目火影忍者,1,很差,2020-08-24 09:55:21,201,"
历史虚无主义的胜利
"
的烬,3,还行,2020-08-15 09:01:19,159,"
冗长。冗长。冗长。开局即高潮，越往后走张力被摊的越来越平，除了王千源看不出其他演员的什么特征，最后的煽情和开篇的悲壮一比像是硬凹出来的茧子，表面觉得厚重但是细想又多余。
"
TimberNord,2,较差,2020-08-22 23:26:46,243,"
历史事件本身足够powerful. 请问为什么还要煽？犹太人进毒气室前是不是还要转身给狱友做一个演讲？是不是铁丝网外还要安排几个人竖个大拇指然后来个特写？
"
大奇特(Grinch),4,推荐,2020-08-17 22:29:36,239,"
三星半，江分两岸，这边隔岸看戏，那边隔岸观火，四行仓库保卫战就是一场供看客们“围观”的战役。战斗场面着实突破，南腔北调的众演员也提供了很好的群戏。但导演迷失在符号堆砌中，马的意向用太多，还加了赵子龙……不及《老炮儿》的鸵鸟有那股灵气劲儿。战争的背后都是政治，视角必然受限，当然还有民众的视角也有缺失（只有观望和觉醒了），与台版《八百壮士》对照观看效果会更佳。
"
illuminate丶,3,还行,2020-08-18 09:13:22,219,"
我给6.5分吧，bug还是很多啊，国军根本不可能有机会杀俘虏，仓库有水为毛要用尿，一个刚学会开枪的立马击中飞机，指挥官唯一的指挥就是叫副官替他指挥……最后恶之花女士再扣0.5
"
内陆飞鱼,4,推荐,2020-08-21 21:46:45,277,"
二刷。有缺点的战士终竟是战士，完美的苍蝇也终竟不过是苍蝇。质感很好，服化道什么，以及整体气场，可能数年内国产战争片超越不了，既然给过《血战钢锯岭》四星，没有理由不给我们自己的历史一样的分数。
"
木棍先生,4,推荐,2020-08-14 14:52:42,265,"
五星红旗上也有他们的血
"
bigson,1,很差,2020-08-23 11:14:49,187,"
这根本就不是阉割不阉割的问题，整个就一建国大业。2个多小时的电影，一个人物的刻画都没完成。几个令人动容的点，铺垫转折都没有，上来就高潮直接就射，还特么不如强奸。一半天堂一半地域，看看人家佛罗里达乐园咋拍的？几个兵，从怂到刚，没个过程，打着打着就特么想牺牲了，人性的刻画呢？首映上感动流泪的王中磊都比这个好看。之前还有采访说什么，张译求欧豪的戏，欧豪没被说动就不能放下枪，最后欧豪被感动落泪。我尼玛那几句话有啥好感动的？？？再也不被情怀和预期牵着鼻子走了！
"
丽俩,2,较差,2020-08-14 22:35:20,300,"
就当是一场秀，大家假装自己很感动……
"
木石子,3,还行,2020-08-14 22:06:32,107,"
这是一部很拧巴的电影，导演既想将主旋律进行到底，又试着去批判电影里政府的不作为。那么问题就来了，主旋律本身和diss政府是矛盾的。如果你想批判国民政府，那应该力度更大一点，而不是通过黄特派员的几句话一笔带过；当然弘扬主旋律那更不可能，国军的先天条件不允许。用主旋律的方式去拍一部反主旋律的电影，本身就不合适。
"
长发,4,推荐,2020-08-14 12:56:29,674,"
小湖北这个角色是给我留下最深印象的，一个懵懂的孩子，身处乱世，被哥哥保护、被战士保护，带着憧憬羡慕的眼神看着河对岸租界的歌舞升平；直到看着自己的哥哥死在自己面前，跟团附说自愿留下来守护四行仓库，一起出来的家人只剩他一人，眼神的转变，证明他长大了，可他的年纪不应该经历这样的成长，太痛心了！
"
同志亦凡人中文站,3,还行,2020-08-31 18:54:31,73,"
落后就要挨打，租界也知亡国恨，一场表演给国人/外国人看的战役。跟敦刻尔克其实没有区别，都是把后退当进步史诗来拍，但太多遮遮掩掩的东西导致不够看，后半段尤其潦草。（有几个战场镜头让我对比了一下1917，结果后者胜出）
"
谋杀游戏机,4,推荐,2020-08-14 12:03:29,335,"
管虎拍的不止是一部商业战争大片，还是一部历史反思之作。突出了一岸之隔、地狱天堂的戏剧性和残酷性。一场战争沦为了当局的表演秀，但那些销蚀的血肉、被辜负的感情都是真实发生的。电影没有刻意渲染牺牲，没有升华善恶轮回人性救赎，直面生死，宏阔壮烈。摄影、美术在国产电影里都是最高水准，中青代演员群戏精彩。希望《八佰》能扛起电影市场复兴的大旗。
"
M酱,3,还行,2020-08-13 22:08:15,114,"
可看但不喜欢 抛开政治正确不说——旗是什么旗？情在哪儿共鸣？于是又回到了“岳飞是不是民族英雄”的问题本身 为什么《八百壮士》就成立呢？因为是台湾人以台湾立场拍的
"
曌影,3,还行,2020-08-19 22:40:01,98,"
【C＋】太难给分了。。管虎不太会玩，舞台化与隐喻皆是画蛇添足。第一反应就是《少年的你》，不仅是争议性，更是同样相当可惜，以及超级灾难的剧本（台词蠢的我想哭）。属于那种每个镜头都精心设计，然后胡乱剪辑，完全缺乏整体意识。开场就已显现乏力，漫无目的的在几个视角频繁切换，引入、史料、入题及最后题目，整段编排简直灾难。又好奇尽管如此管虎还要以天划分多段式，几次后才能看出巨大野心；但战争片究竟应该如何变奏？对比《现代启示录》就是神与人的差距。管虎懂得如何营造，但丝毫不懂如何维持，于是过于不加节制：几乎从头到尾用动感或浅焦强行锁住视点，情感张力最强的一段跳楼却慢慢不知收敛，又随意插入外部视角，甚至结尾叠化叠了六七次。。不过无论如何，无论是意识或是工业，它在向前不断探索，而这也正是目前大陆最需要的电影。
"
躲猫猫社社长,1,很差,2020-08-17 23:20:33,98,"
太差了。基础叙事讲5个Ws（Who, What, When, Where, Why）一个How，一个也没讲清楚。走路没走好，中途还试图踩单车。护旗虽是房间里的大象，但是唯一一场有明确目标的场景。八佰估计怀疑1917这时上映是刁民存心羞辱自己。
"
大头绿豆,3,还行,2020-08-21 20:42:42,82,"
这场战斗本身就充满奇幻，导演当然占尽这种便宜，所有的戏都围着苏州河演开。能看到他想雕琢出的群像和个体，也都有或粗或细的成长描写，但因为野心太大，结果我们眼前更多的还是一个个写好的标签。租界里奉献了一些不错的细节，但庞杂的信息中难免显得部分多余。前一个小时在他们绑着手榴弹跳下去达到高潮，但哭完之后我会想为啥不用尸体丢下去，以及，不得不迎来啰嗦冗长，煽情过曝的后一个小时。黄晓明及时提醒我们这部片的水准，我一看敦刻尔克我才给了四星，只好三星了事。
"
孟浪,3,还行,2020-08-18 00:06:48,95,"
影片刻意放大了以苏州河为界两岸对垒下的坚守与投降、牺牲与逃跑两种选择的对立与凝视，导演的创作路径是由一种多视角叙事呈现出对中华民族抗敌奇迹的围观，进而以八百壮士死守四行仓库为核心，搭配政客、戏子、妓女、知识分子、学生、黑帮、汉奸、记者等符号化的人设，展开对人性的赞美与讽刺、政治的把玩与嘲弄。但群戏的最大难点就在于对演员表演方式的统一调配以及平衡感的把握，显而易见，杜淳、黄晓明、李晨等华谊兄弟系男演员并没有撑得起这样的期望。当然，影片最大的败笔还是对老算盘、老铁等几个人物近乎偷懒地、漫画式地塑造，一些轻浮的喜剧元素完全冲淡了战争片本该有的残酷感和严肃性，乃至于结尾浮皮潦草地进行几处人性升华也就难以令人信服。此外，影片还想以伪纪实烘托出几分历史真实感，但手法太过低劣，远没有达到以假乱真的水准。
"
阿暖,4,推荐,2020-08-14 13:58:04,114,"
战争的背后都是政治，那电影的背后当然也只有政治。
"
老袁,3,还行,2020-09-02 13:05:58,78,"
完全看不出导演反战，只感受到导演对战争的迷恋。
"
兮颜,1,很差,2020-08-24 10:52:09,98,"
不好意思，真不喜欢看，为煽情而煽情，大型架空历史玄幻抗日电影
"
[已注销],2,较差,2020-08-21 13:13:01,345,"
开始能给四颗星，看到最后两颗星……
"
测不准的索菲娅,2,较差,2020-08-14 21:16:25,230,"
看到一半无力吐槽，一星给题材，一星给摄像。我怕看完连两分也给不了了。
"
嘟嘟熊之父,2,较差,2020-08-14 22:31:53,208,"
不能仅歌颂英雄，一定要歌颂国人，问题就出在这里。大概到第100分钟，电影已经完成了它的使命。摄影机如一把枪，全程模拟瞄准的过程，以全景镜头预警即将到来的惨烈，枪战炮火中贯穿始终的浅景深摇镜制造出信息过载的假象。当然，视点的限制意味着画外可能发生一切，但无法说服自己如此的高强度感官冲击不是假象，因为靶心始终只有敌军一方，且开场即被明晃晃地曝露在外，瞄准的动作沦为形式，脱靶又显然不现实，四面八方全是靶心，你又如何能脱靶。
"
荒野一鸽,3,还行,2020-08-21 13:16:09,136,"
算是典型的情绪电影，镜头着重渲染情绪，背后的逻辑和思考没有感受到。
"
沁言子,3,还行,2021-03-08 01:05:32,0,"
拍得一般
"
王湾下雨了,2,较差,2020-08-14 22:49:56,213,"
除了枪炮血腥之外啥也没有，各个空洞洞的人物，一场战争拍成了运动会，租界上的看客是观众在呐喊助威，仓库里的战士是演员在表演，管虎不会拍电影，和审查删减无关，浪费人力物力金钱拍这种东西意义何在。
"
LOOK,2,较差,2020-08-15 09:59:51,131,"
2020年盛夏看一部大陆导演拍的一仲各表硬核深蓝宣传片，我真的有点穿越。也不用扯上光荣之路、现代启示录、全金属外壳之类，一部现代战争片，最终的落脚点就是一面旗，就不多说啥了。唯一有点意思的人物是零星闪过几个镜头的余皑磊，造型气场有点《老无所依》里哈维尔·巴登的味道，是人在战争处境下不知所措的荒诞变态感。其他人物都是一个模子出来的。
"
会笑的昨天,5,力荐,2020-08-14 13:24:25,1176,"
表演、摄影、置景都无可挑剔，成片对得起观众的期待。看之前一直好奇姜武这个角色，以往他在我眼里都是硬汉形象，以为在电影里也会充满北方爷们的狠劲，但其实不是……他只是演绎了一个平凡的民兵，所以我看电影的时候快急死了！一方面特别期望看到他的崛起，一方面又讶于他瓜怂的演绎。历史上本来就没有那么多大英雄，有的只是千千万万个不屈不挠，英勇反抗的平凡人物。
"
大钊,2,较差,2020-08-18 23:50:28,233,"
《八佰》破8指日可待。编剧和管虎彻底毁了这场大制作，烂归烂，还是很推荐大家看IMAX，如此精致光影的租界夜上海，快节奏的反击战，文戏再烂也值了。要讲悲壮的历史，全片一点都不严肃，看不到一点战争的样子，演员形象本身不立体，表演还一脸自我满足，很多“感人”的场面找不到合理动机。中国不缺技术，缺艺术，和删减无关，管虎本身不行。
"
寒枝雀静,4,推荐,2020-08-15 00:03:46,93,"
C / 与其说是关于战士的电影，不如说是关于“戏子”与“观众”的电影。用第一天极为刺骨地对苏州河两岸空间作二元勾勒之后，影片试图提出一个颇为大胆的命题：“观看”从不仅仅是观看，目光具备蓄积力量、引向行动并突破边界的潜能。由此才有灯红酒绿中人的双手，才有最后的情感喷薄。然而对岸群像的删减却让这个目视关系联结交错的过程大大萎缩，因而“不知亡国恨”之人的泪水也变得虚假，苦心孤诣构建的空间对垒也愈发无力。而银幕前的观众，在受尽了隔岸观火“无能为力”的折磨之后，过于轻巧地加入了英雄的队伍，无所适从。
"
cllaomi,2,较差,2020-08-14 23:14:13,187,"
在舞台剧般扯着嗓子的口号声和拉开架势要干一架的做作表演风格这些外放亢奋的情绪下是指向不明的大杂烩式苍白内核。无论是士兵还是被塑造成隔岸观火的南岸民众，都是工具人，沦为走马观花的描绘，就谈不上有“平凡人转换”的土壤和让观众共情的可能。某些桥段想质疑用虚妄的抵抗的荣誉牺牲国民、只为作秀的做法，另一些桥段又马上生硬地嫁接到“用牺牲让历史铭记”、“唤醒民智”的主题上，就好像片中谢晋元角色能在一开始提出”明朝为何而亡“、”战争后都是政治“，片尾又突然掉到家国信仰一般，充满了妄图将民族主义主旋律和反主旋律粗糙糅合在一起的那种逻辑上的割裂与矛盾。角色的台词，要么浅薄，要么纯为刺激情绪。护旗桥段就有点扯淡了，到了片尾隔着租界的门比大拇指、伸出拳头的设计就已经是好笑了。白马的象征意义、逃兵视角都是多余的。
"
游女,2,较差,2020-08-16 10:48:10,233,"
找孙元良宣传的电影，没什么好说的，侮辱八百壮士。
"
Le Salomon,2,较差,2020-08-15 11:29:42,184,"
人家跟你谈严谨，你跟人家谈情怀。拍了部夸岳飞的电影，请秦桧后人一起宣传。这电影最大的亮点就是告诉人们对帝国主义展示自己的悲惨来博得同情和援助是不切实际的，没有足够的实力，在任何时代都是会只有英烈没有胜利。
"
浆糊骗子,2,较差,2020-08-14 12:36:53,130,"
老好人已经跳不出老好人的戏路了；wqy+学wqy的=双倍毁戏

"
连城易脆,4,推荐,2020-08-15 21:32:11,77,"
电影遭受的各种场外风波和批评现在看起来似乎不大公平。首先八佰壮士是李德胜大大钦定的革命典型，四行仓库抗战纪念馆也是我党亲自出资筹建的。诚然，老蒋等KMT高层确实昏庸无能，且总是寄希望于英美国家，八百壮士确实被当成了炮灰，但是无碍于他们是革命英雄啊！陈树生舍生取义的故事不动容吗？底层将士英勇抗日难道不是事实吗？不能因为将领的无能而否定底层战士的牺牲呀！他们同样生的伟大，死的光荣。另外看过电影以及看过原版对比就知道，电影就没有提所谓逃跑将军孙元良，所以谈何洗白呢？洗什么了？即便管虎和秦汉合影的操作有点谜，但是电影现在看下来没啥大毛病呀，无非就是因为删减造成了部分情节不连贯人物无头无尾，但是如果你参观过四行仓库原址，就知道电影几乎就是照着抗战纪念馆原封不动拍的，完全符合我党对于这场战争的描述。
"
江湖骗纸,2,较差,2020-08-17 12:59:37,156,"
太刻意了，而且几乎每个明星都有一个超大的特写镜头，影响观感。
"
鸟倦知还,5,力荐,2020-08-14 17:19:07,1047,"
2020年真正意义上看的第一部电影，基本只有两个字：震撼。震撼场面的宏大，故事的完整，节奏的流畅，演员的演技，但最重要的是，对平凡人的尊重。没有番号的军队，没有番位的排名，电影回归本体，就该是《八佰》这样，用画面重现历史，用真诚铭记和怀念。中国电影工业化的里程碑之作，不愧是大片！

"
Shadowchaser,4,推荐,2020-08-19 14:11:55,8889,"
7.5/10. 怀着9分的期望去看的，遗憾的发现影片远没有我想象中的那么好，虽然本身质量也够硬。理应是高潮的护旗戏份虽然热血，但总少了点劲，导致全片的战斗片段没有一段是足够称得上高潮的。差不多四五场大小接敌战，很好的调动起观众的情绪，但是每一段都点到为止，怎么也没有真的把最后感人至深的泪点引出来，打的又很真实，以至于可以燃的燃点也没有塑造好。包括后半小时的撤退戏，强行煽情，只让人觉得节奏拖延，太过拉胯了。白马意象可以保留，但幻想赵子龙的片段完全无意义，和几处慢镜头一样无意义。服化道的用心和制作精良的态度以及管虎的野心如同影片的缺点一样显而易见。虽然没我想象中那么好，但整体上是非常值得一看的国产片。
"
