评论人昵称,星级,等级,时间,有用数,评语
渺渺木叶,4,推荐,2021-10-07 20:53:35,341,"
长津湖一战我军有四万多的伤亡，其中有三万多人是冻伤的，冻死的有四千多人，有几个连队甚至都在阵地上被活活冻死。这个伤亡和我们的后勤准备不足有关。当时参加长津湖战役的志愿军部队是宋时轮将军的第九兵团，之前是一直驻扎在南方准备攻台的部队，又因为提前入朝，没有准备过冬的衣服。当时为了达到出其不意的效果，放弃了后勤补给，千里突袭，才造成了这么大的伤亡。不过我们也完成了战略目标 打退了美军。美军陆战一师是美军的王牌部队，全歼太难了，全歼了一个整编团已经很好了。无论如何，还是向这些保卫国家的革命先烈们致敬。
"
堂费南度,3,还行,2021-10-03 11:29:35,564,"
为什么到现在了，这么大的制作，画面还是满满的塑料感，台词硬得像学生作文？
"
三峰结华p,3,还行,2021-09-30 15:16:58,375,"
三星给演员的演技和配乐。接近三个小时的剧情太散碎，有些人物甚至都不怎么刻画就便当了，终究还是商业片。特效也太尬了，美国空军那部分蚌埠住了。唯一的惊喜就是音乐了，与大部分剧情相得益彰，更好的感染观众
"
很男的男,2,较差,2021-10-02 22:54:20,1346,"
想的太多，拍得太散。人工雕刻痕迹过重。
"
雾淡乡,4,推荐,2021-10-01 22:52:09,364,"
挺好，前2/3很惊喜，文戏武戏都到位
。没有强行反战反思，没有过于个人英雄主义，拍出了我们正义之师的精气神！但是压轴的长津湖之战反而流于程式化了，唉……
"
豆友151526638,3,还行,2021-10-01 21:06:43,560,"
长，坐在电影院太煎熬了。看到前排很多人看一半走了，我告诉自己，这是付了钱的，不能走。
正常电影开头-高潮-结尾，这部电影开头-高潮-结尾-开头-高潮-结尾-开头-高潮-结尾-开头-高潮-结尾，这种结构根本不像电影，像是电视连续剧。嗯，没错，我坐在电影院看了近三小时的连续剧。
我一直不懂为啥除了第一场战争外，其他战争都没办法让我集中注意力，后来电影结束才知道是三个导演拍的。第一场战争明显更有戏剧张力，后面的战争基本就是拍了个打战的过程，看着看着就不想看了（还不如只选择其中一场战争来进行拍摄，其他带过）。
这种历史题材的剧，观众都知道结局了，最重要就是过程中结合史实的情况下能有戏剧上的创新和张力，否则很难抓住观众。
如果一部历史题材的电影无法靠情节吸引观众，那么还不如去看纪录片，至少纪录片真实。
"
Ramen,2,较差,2021-10-03 09:04:59,599,"
想讲的太多，结果是一个也没讲好。剪辑混乱 ，特效低廉，情感线离谱，陈凯歌你还是把我对于你那点仅有的尊敬败光了。
"
Sharkwww,5,力荐,2021-09-29 19:00:04,3504,"
感谢影协点映，
完美诠释了什么是最可爱的人！
"
豆友200838658,5,力荐,2021-10-03 15:40:13,577,"
今天看了长津湖，有一句话特别触动，这一场仗我们不打，我们下一代就要打。我不说别人，就我自己，不能想象，如果现在的时代是战乱的年代，会如何？不能想，也想不出来。战士他们的想法好简单，也很实在，就是因为我的家乡会收到侵犯，得之不易的幸福会被破坏，他们毅然而然离开家乡，奔赴战场，在零下三十四十的温度下，吃着冻土豆，隐蔽在冰天雪地里一动不动，有的人冻死冻伤，甚至都没有机会正面敌人。有一幕，敌军飞机监察，他们伪装成死尸，然而敌军两人十块钱的比试，导致他们被扫射，他们受伤了也一动不动，生怕动了连累其他同志，这是多大的意志和信仰。他们都是英雄，是最可爱的人。
"
水淼i,3,还行,2021-10-05 09:02:11,241,"
13亿的大制作，结果开头的特效假的直接让人出戏。。。
"
百代过客,3,还行,2021-09-27 23:47:38,625,"
从火车出逃的隐蔽戏和第一场村庄支援战太棒了，盖过了后半段的总进攻。整体而言，就特别博纳——主旋律，老面孔，秃如其来的口号式台词，虽迟但到的煽情，不过这次的惊喜角色是胡军饰演的雷爹。一场艰苦而伟大的胜利，来之不易的幸福。

"
Hanks Young,5,力荐,2021-10-04 02:10:41,521,"
外公参加过长津湖战役，看到了外公的影子，那场战役能够活下来已经很难了。战争镜头真好看
"
葳蕤,5,力荐,2021-10-06 08:11:00,464,"
前天刚看过《长津湖》，回来和家人聊了好久。我家有两位志愿军战士，一位是我的爷爷，他是朝鲜战场上的战斗英雄，归来后又上过越南战场，一直当到团长，载誉归来。另一位是我姥爷的哥哥，18岁就牺牲在了朝鲜战场上…就在前几年我的家人们还奔赴千里外祭奠了先人…每一位志愿军战士都不该被忘记，历史更应值得我们每个人铭记。
"
看热闹的萝卜,2,较差,2021-10-04 23:15:16,559,"
拉满期待值去看的，失望而归。能否不要急于求成，能否少做营销，能否把钱花在刀刃上。看过电影后居然觉得抗美援朝赢的还挺容易？？？！！！以后陈凯歌要成为避雷神器了。
"
王玦,2,较差,2021-10-02 21:14:22,859,"
这拍的是动作片…美军除了空军，陆军就是屑。无语，真当抗美神剧在拍。不少画面甚至没制作完成，色调都没统一。战争场面又多又长。完全没有轻重设计。中国就没导演会拍战争戏吗？再，北方人演南方人能不能认真点，一口北方强调不说行为也完全看不出南方人
"
不羁绊的石头,4,推荐,2021-10-07 15:06:57,252,"
国内战争题材电影质感越来越好，但反战的视角却越来越模糊。环測周边观众各个激情澎湃，热情高涨，似乎参战，速缴匪敌成为影后幻想。纵观同类型题材拯救大兵，辛德勒等，都表达一个观点：不打了，不想打，我想回家等。所以还是有一点点的担忧。
"
Nino,2,较差,2021-10-04 17:03:59,509,"
看到老段我支棱起来了，看到陈凯歌啊我又不想看了，诶编剧是兰晓龙诶，我又想看了……陈凯歌，我该不该相信你……10.4还是带家人一起去看了，是谁说陈凯歌的文戏拍的好的？！大骗子！胡军，段奕宏，朱亚文演的好，他们念煽情的台词我不会觉得他们在演不会有生硬的感觉，但是吴京，韩东君不行……太刻意了，要不是不断的轰炸前面2个小时我能睡死过去！易烊千玺最拉！我爸说他演的像个混混！流里流气的！剧情呢，用我弟的话一句话概括就是：一直在轰炸没有剧情。不要去看！不要被营销骗了！到底是谁给我的勇气让我有期待啊！
"
北京的深秋,5,力荐,2021-09-29 22:10:53,2413,"
王树增的纪实小说《朝鲜战争》读过好几遍，其他的相关纪录片也看过不少。打得一拳开，免得百拳来，71年前，240多万年轻的中国人民志愿军将士保家卫国，慷慨赴朝。这一段谜一般的波澜壮阔的历史深深吸引着我。电影《长津湖》是久久期盼的一场电影，我看得热血沸腾，非常感动：零下40度气温的盖马高原战场，美军有极地型驼绒防寒大衣和鸭绒睡袋、有肉和菜，冰天雪地里的志愿军战士身上只穿着单薄的棉衣，只有一颗冻得如石头一般坚硬的土豆，拼命还得受冻挨饿！他们是最可爱的人，就是在这样极端严酷的条件下，他们打出了钢少气多的志愿军气概，打出了军威国威。致敬中国人民志愿军将士！
"
皮皮米,3,还行,2021-10-02 09:20:49,305,"
万里这个角色，有点儿牵强，还是感觉加入这个角色是为了电影市场和流量，在整体故事线中，真可有可无，没那么重要；三个小时的电影，总体来说，还是蛮紧凑的，节奏把控不错，最喜欢胡军饰演的“雷爹”这个角色，很真实！
"
鸟倦知还,4,推荐,2021-09-30 09:27:49,1173,"
有多久没看到兰晓龙的编剧作品就有多期待《长津湖》，真的完全出乎意料的满意！整体故事相当完整，每个角色的线都很丰满。伍千里，伍万里，余从戎，谈子为，梅生，雷睢生，平河……少见的战争片能让我记住每个角色的名字，既文雅又饱含着期待和寓意。而且演员与角色契合度堪称完美，从不同角度呈现了他们为什么是最可爱的人，把一个连队的生命力表现得淋漓尽致。最让人关注的战争场面，是实打实的震撼，战场身临其境的特效超级棒，三个导演有在互相补足，贡献了超强搭配。IMAX首选，萎靡了一年的电影院，终于要迎来燃炸的国庆档！

"
不正坐标系,5,力荐,2021-09-29 22:43:24,2490,"
176分钟的历史回顾，场面应该是国产片至今最大的(至少是我看的电影里面是最壮观的)，事件叙述很清晰，人物特色很鲜明，没有以往看的战争电影的那种快节奏或者画面切换过多过乱。这样主旋律的电影请一年一部，当下的和平时光都是前人的牺牲换来的，铭记历史，壮大祖国，是对他们最好的报答。场外提醒，看电影前一定要少喝水和上厕所。可以的话，观影途中请别刷手机，既是对电影对历史的尊重，也是对旁人的尊重。
"
普通影迷,2,较差,2021-10-02 23:39:18,451,"
累了…失望…一星送给抗美援朝的战士，一星送给剧组全员的付出。顺便补充，号称流浪地球之后的第二个牛逼的长镜头真没Get到哪里牛逼了…感觉像是镜头时间没留够，特效做上去时间不够长，然后24帧强行升格导致的廉价的抽帧…长镜头内给每个人甩的特写节奏也很奇怪…
"
请叫我三水萨玛,5,力荐,2021-09-29 22:45:09,3759,"
没想到自己看战争片也可以如此入神，千里阻止万里枪杀美军基地指挥官时，严重破防了，这就是中国军人，这就是中国之魂，仁之本位，今日份思想觉悟get！
"
汐,5,力荐,2021-09-30 17:48:48,1209,"
没看会后悔 三个小时一点也不长 群像很好人物立体 很震撼
"
暗黑系村花,2,较差,2021-10-01 21:54:30,395,"
时长太长了，想看高潮部分等了好久。可能是时长的原因，节奏可以紧凑一点。
"
康斯坦,3,还行,2021-09-27 17:54:21,309,"
香港导演们，使命…没有必达。段奕宏表演最佳。
"
小巷,5,力荐,2021-09-29 23:15:34,3596,"
非常好看的影片，里面的人物生动感人，70年前的战争更会比演绎的更惨烈，片子里时时说为了后辈不打这场仗，所以我们一定要打，面对外敌入侵只有战场才能赢回尊严，我们是幸福的一代人希望能有更多的观众走进影院观看，希望记住那段历史更加珍惜美好的时光……更加感知今天的幸福生活
"
二十四帧,4,推荐,2021-09-30 17:44:06,305,"
兰晓龙没让人失望！此片是中国电影工业的一大进步，三位导演，各把自我风格发挥出来了，突出的是陈凯歌的诗意景象，江村渔火，万里长城，还有在火车内对人物性格的展现，颇有大师之风范；徐克的动作美学,林超贤的军事戏，做的也非常具有观赏性。此片的剧作也是主旋律电影的一大进步，宏观命题与微观情绪的并存，小人物团体为主角，真是把好莱坞的优点算是学过来了，这点兰晓龙功居其首。当然，影片也有很多不足之处（个人认为黄建新让兰晓龙做了妥协）：家国生存与个人生存融合地不好、志愿军精神以及战争残酷性表达地不充分；宏观戏过多，导致人物性格没立足；结尾处理太差；特效一般，音乐铺的过满，三个导演的风格不是很统一。
"
Damian,4,推荐,2021-10-01 20:40:09,249,"
刚入朝在干河坝的石头那场戏我紧张得差点窒息了
"
张雨绮绮绮子,5,力荐,2021-09-29 19:53:21,3296,"
史诗级作品，历史战争片天花板，深度还原了抗美援朝东线战争场面，无论动作戏还是战争戏都是顶级制作，剧情方面兰晓龙是天才，群戏能把人物形象塑造的这么立体绝了，印象深刻演得好的一个是四字弟弟，还有一个是戏份不多的黄轩和教员
"
Xshuai胡,5,力荐,2021-10-01 18:20:19,480,"
虽然有些不如人意的地方。但就凭这个题材。他就值五星
"
Octopus'Garden,2,较差,2021-10-03 16:54:39,352,"
连工业水准也很差。全片有一个好镜头，打开车门，对面的火车驶过，后面是长城，超越本身叙事的美感
"
silva,4,推荐,2021-09-30 18:52:47,373,"
好几个画面还是感动的湿了，几个演员都演得挺好。总体有个感受，不管拍的如何，只要实打实把资源砸进去，这么波澜壮阔的朝鲜战争，如此有现实教育意义的一次胜利，拍他十部八部都不为过。人老美打输的战争拍的都比这多，舆论宣传的阵地要勇敢的抢滩登陆！
"
依旧空空,2,较差,2021-10-05 07:21:43,412,"
说实话看到陈凯歌，心已经凉了一半，再看到那个爆炸场面和转360度扔手榴弹的动作，另外一半心也凉了.... 哎，什么时候才能看到一部真正好看的抗美援朝片子。。
"
jxy,3,还行,2021-10-07 17:54:58,196,"
是电影长津湖，不是历史长津湖
"
zgyndmzsj ,2,较差,2021-10-02 21:13:58,259,"
煽情无处不在，有点乱
"
